Hour,C.1 P.5 Entrada Choupelo,C.10 P.4 Bus Drop,C.100 P.2 Parque Estacionamento,C.106 P.2 Elevador Clientes,C.107 P.2 Elevador Clientes,C.11 P.4 Bus Drop,C.128 P.1 Cais,C.129 P.1 Cais / C. Croft,C.130 P.1 Entrada Mercado,C.131 P.1 Entrada 1 Mercado,C.133 P.1 Loja 2.3,C.135 P.1 Loja 2.2,C.137 P.1 Loja 2.1,C.139 P.1 Loja 1,C.14 P.4 Elevadores Cork,C.142 P.1 Loja 3,C.143 P.1 Entrada 2 Mercado,C.144 P.1 Entrada 2 Mercado,C.146 P.1 Loja 4,C.149 P.1 Escadas Lemon Plaza,C.15 P.4 Elevadores Cork,C.16 P.4 Grande Lobby,C.17 P.4 Elevador Ext. Bus Drop,C.2 P.5 Entrada Choupelo,C.20 P.4 Elevadores Clientes,C.33 P.3 Elevadores Cork,C.35 P.3 Elevadores Cork,C.38 P.3 Entrada Pra�a,C.4 P.3 Entrada Funcion�rios,C.42 P.3 Elevador Exp. Tempor�rias,C.50 P.3 Elevadores Clientes,C.51 P.3 Elevadores Clientes,C.52 P.3 Grande Lobby / Rest. Eventos,C.55 P.3 Entrada junto Root & Vine,C.57 Entrada junto Root & Vine,C.58 P.3 Grande Lobby / Suspiro,C.59 P.3 Grande Lobby / Bus Drop,C.61 P.3 Elevador Exterior Grande Lobby,C.65 P.3 Cork,C.69 P.2+ Elevador Clientes,C.77 P.2+ Parque Estacionamento,C.8 P.4 Escad. Bus Drop / Grande Lobby,C.81 P.2+ Elevador Exp. Tempor�rias,C.83 P.2+ Entrada Exp. Tempor�rias,C.9 P.4 Bus Drop,C.98 P.2 Parque / acesso Exp. Temp.,Choc. C.19 P.0 Entrada Cafet.,Choc. C.20 P.0 Entrada Bilheteira,Choc. C.21 P.0 Entrada Loja,Choc. C.27 P.0 Entrada Apoio Museu,Choc. C.31 P.1 Elevador junto Escrit�rios,Choc. C.32 P.1 Acesso Escrit�rios,Choc. C.38 P.1 Escadaria Traseiras,Choc. C.39 P.1 Elevador Traseiras,Cork Loja C.32,Drinking Vessels Contag.,Fase 2 C.56 P1 Elevador,Fase 2 C.57 P.1 Elevador,Fase 2 C.58 P.0 Elevador,Fase 2 C.59 P.0 Elevador,Fase 2 C.60 P.2 Elevador,Fase 2 C.61 P.2 Elevador,Fase 2 C.62 P.0,Fase 2 C.63 P.0 Museu,Fase 2 C.64 P.-1 Loja,P.1 Loja Prata Contagem,Wine Loja C.21
0,2,25,254,46,30,2785,818,86,62,74,2,0,0,0,0,6,86,13,25,59,81,697,10,3,65,42,1043,84,135,12,88,26,863,612,225,738,303,17,4,133,375,386,0,1,2041,1,665,74,322,0,65,744,308,70,71,51,14,36,136,127,124,77,4,261,99,7,22
1,3,93,229,17,9,1934,1923,53,16,34,0,0,0,0,0,0,53,7,17,5,11,601,6,7,36,46,1126,69,184,1,43,9,663,170,83,396,270,46,15,80,222,255,1,0,1684,2,346,25,210,0,36,379,128,32,41,59,22,49,51,94,60,43,5,75,95,16,74
2,7,153,128,2,1,1521,2202,52,43,42,0,1,2,1,14,0,36,1,13,3,9,264,5,6,18,12,1137,26,187,1,11,4,195,48,24,128,147,40,6,4,113,329,0,1,1835,2,328,42,185,0,18,672,260,32,86,49,28,50,53,63,50,33,2,26,60,43,35
3,7,60,165,5,9,1469,1837,51,96,5,0,0,0,0,7,0,51,2,1,8,7,200,2,1,35,17,1087,21,198,2,19,10,108,55,14,102,158,31,15,9,115,198,0,0,1415,4,391,53,173,0,35,321,85,24,74,40,16,34,21,39,23,24,2,17,30,12,11
4,8,34,66,3,1,1694,1669,51,405,19,0,0,0,0,8,0,31,3,0,4,3,129,0,4,35,5,1174,38,62,0,14,10,56,61,12,72,70,27,4,7,79,135,1,1,1054,0,595,39,201,0,35,564,192,33,64,26,11,39,17,57,51,32,0,49,24,22,8
5,35,67,96,4,3,1511,1704,53,39,47,0,1,4,1,12,3,51,0,1,6,2,150,2,15,28,10,1131,36,107,0,18,8,105,53,15,82,144,47,6,4,86,439,0,0,1580,3,375,33,166,0,28,348,132,45,78,36,7,29,18,53,33,29,0,34,24,54,39
6,106,41,259,51,41,1068,6804,784,2826,164,0,1,0,1,2,7,95,8,76,9,17,140,0,259,24,13,875,436,288,3,24,8,230,48,5,148,189,2,9,6,201,235,0,2,2311,0,258,83,212,0,24,703,251,33,26,18,24,54,39,39,74,36,3,45,28,5,128
7,92,245,449,32,33,2894,7567,1056,2101,266,0,20,0,20,6,2,72,6,155,27,7,283,41,1145,129,38,736,303,349,3,194,22,1221,83,58,777,523,22,98,39,1022,175,8,28,2852,3,1919,768,1215,0,129,488,46,419,80,3,149,326,832,722,137,131,2,499,35,38,34
8,262,231,1073,271,213,4809,6737,1859,1338,1170,25,147,3,147,17,19,273,79,18,326,62,811,51,2113,162,57,193,531,665,18,258,148,2536,555,165,1932,1264,78,160,348,2130,374,23,36,2938,1,4400,828,2907,0,162,1195,331,632,560,151,118,201,207,209,311,255,14,312,303,379,98
9,837,441,1416,166,196,3218,8551,3189,1783,1697,270,241,51,241,44,81,396,196,66,582,162,1326,70,4513,397,38,90,1445,966,203,230,150,3635,1169,455,2902,1577,181,239,670,3108,472,97,127,2854,15,6166,966,3530,0,397,1966,366,837,1084,630,190,256,464,435,411,382,15,951,1354,1413,444
